"Name","Pos","Year","GP","G","A","Pts.","Pt/Gm","PEN","PIM","GWG","PPG","SHG","ENG","Season","Team"
"Clancy Todd","D","Jr","31","1","3","4","0.1290","17","34","0","0","0","0","2007-2008","colgate"
"Kate Wolgemuth","F","Sr","32","1","2","3","0.0938","5","10","0","0","0","0","2007-2008","colgate"
"Ali Edell","F","So","34","1","2","3","0.0882","26","85","0","0","0","0","2007-2008","colgate"
"Nicole McDonald","D","So","33","2","0","2","0.0606","0","0","0","1","0","0","2007-2008","colgate"
"Ruth Fish","F","Jr","24","0","2","2","0.0833","2","4","0","0","0","0","2007-2008","colgate"
"Jill Cater-Cyker","D","So","25","0","2","2","0.0800","1","2","0","0","0","0","2007-2008","colgate"
"Elayna Hamashuk","G","Jr","5","0","0","0","0.0000","0","0","0","0","0","0","2007-2008","colgate"
"Lisa Plenderleith","G","Fr","30","0","0","0","0.0000","0","0","0","0","0","0","2007-2008","colgate"
"Tai Stephan","D","Fr","3","0","0","0","0.0000","0","0","0","0","0","0","2007-2008","colgate"
"Lisa Dodd","F","Jr","9","0","0","0","0.0000","0","0","0","0","0","0","2007-2008","colgate"
"Alyssa Dahl","F","Jr","19","7","11","18","0.9474","2","4","4","2","1","1","2007-2008","concordia-mn"
