"Name","Pos","Year","GP","G","A","Pts.","Pt/Gm","PEN","PIM","GWG","PPG","SHG","ENG","Season","Team"
"Nicole Camardo","D","Jr","31","0","0","0","0.0000","0","0","0","0","0","0","2010-2011","connecticut"
"Courtney Dumont","F","Fr","24","18","10","28","1.1667","0","0","3","6","0","0","2010-2011","connecticut-college"
"Olivia Farrell","F","Fr","25","5","16","21","0.8400","10","20","0","2","0","0","2010-2011","connecticut-college"
"Ariel DiPasquale","F","So","25","5","10","15","0.6000","4","8","1","1","0","0","2010-2011","connecticut-college"
"Brigid O'Gorman","D","Sr","25","5","5","10","0.4000","6","12","1","2","0","1","2010-2011","connecticut-college"
"Celia Medeiros","F","Sr","25","6","3","9","0.3600","3","17","1","2","0","0","2010-2011","connecticut-college"
"Caroline Corbett","F","So","24","6","2","8","0.3333","10","20","2","0","0","0","2010-2011","connecticut-college"
"Kelsey Kirker","F","Sr","25","4","4","8","0.3200","15","30","2","1","0","0","2010-2011","connecticut-college"
"Samantha Schuffenecker","F","So","25","4","4","8","0.3200","0","0","0","0","0","0","2010-2011","connecticut-college"
"Ashleigh Kowtoniuk","F","Jr","18","2","5","7","0.3889","5","10","1","0","0","0","2010-2011","connecticut-college"
"Kourtney Martin","D","Sr","18","5","1","6","0.3333","7","14","0","0","0","0","2010-2011","connecticut-college"
"Paige Murray","D","Fr","23","2","4","6","0.2609","6","12","1","1","0","0","2010-2011","connecticut-college"
"Katelyn Driscoll","D","Jr","25","0","4","4","0.1600","15","30","0","0","0","0","2010-2011","connecticut-college"
"Molly Murphy","D/F","So","25","0","4","4","0.1600","7","14","0","0","0","0","2010-2011","connecticut-college"
"Jillian Dolliff","F","Jr","23","0","4","4","0.1739","4","8","0","0","0","0","2010-2011","connecticut-college"
"Abby Hine","F","Sr","25","2","1","3","0.1200","11","22","0","0","1","0","2010-2011","connecticut-college"
"Sam Schoeneberger","F","So","20","2","0","2","0.1000","3","6","0","0","0","0","2010-2011","connecticut-college"
"Louise Bulow Andersson","D","Fr","21","0","2","2","0.0952","6","12","0","0","0","0","2010-2011","connecticut-college"
"Leah Kallen","F","Fr","15","1","0","1","0.0667","0","0","0","0","0","0","2010-2011","connecticut-college"
"Brittany Fitzgerald","D","So","3","0","1","1","0.3333","0","0","0","0","0","0","2010-2011","connecticut-college"
"Lauren Posillico","F","Jr","13","0","1","1","0.0769","0","0","0","0","0","0","2010-2011","connecticut-college"
"Robin Edwards","G","Jr","1","0","0","0","0.0000","0","0","0","0","0","0","2010-2011","connecticut-college"
"Andrea McRae","D","So","19","0","0","0","0.0000","7","14","0","0","0","0","2010-2011","connecticut-college"
"Amy Leichliter","G","So","25","0","0","0","0.0000","0","0","0","0","0","0","2010-2011","connecticut-college"
"Lee Tsairis","G","Fr","1","0","0","0","0.0000","0","0","0","0","0","0","2010-2011","connecticut-college"
"Rebecca Johnston","F","Jr","33","26","24","50","1.5152","0","0","5","2","2","0","2010-2011","cornell"
"Brianne Jenner","F","Fr","33","23","27","50","1.5152","13","26","5","3","2","0","2010-2011","cornell"
"Chelsea Karpenko","F","Jr","33","23","25","48","1.4545","11","22","3","11","0","0","2010-2011","cornell"
"Catherine White","F","Jr","33","21","24","45","1.3636","14","28","3","6","0","0","2010-2011","cornell"
"Laura Fortino","D","So","33","9","32","41","1.2424","12","24","4","4","0","0","2010-2011","cornell"
"Hayley Hughes","F","Sr","34","17","18","35","1.0294","2","4","3","4","0","0","2010-2011","cornell"
"Lauriane Rougeau","D","So","33","4","28","32","0.9697","9","18","0","2","0","0","2010-2011","cornell"
"Karlee Overguard","F","Sr","32","9","18","27","0.8438","10","20","2","2","0","0","2010-2011","cornell"
"Jessica Campbell","F","Fr","31","11","15","26","0.8387","4","8","0","3","1","0","2010-2011","cornell"
"Alyssa Gagliardi","D","Fr","35","1","18","19","0.5429","7","14","0","1","0","0","2010-2011","cornell"
"Amanda Young","D","Jr","32","2","14","16","0.5000","9","18","1","0","0","0","2010-2011","cornell"
"Kendice Ogilvie","F","Jr","35","5","6","11","0.3143","5","10","3","0","0","0","2010-2011","cornell"
"Hayleigh Cudmore","D","Fr","35","0","9","9","0.2571","11","22","0","0","0","0","2010-2011","cornell"
"Olivia Cook","F","Fr","32","1","7","8","0.2500","4","8","0","0","0","0","2010-2011","cornell"
"Amber Overguard","F/D","Sr","32","4","2","6","0.1875","4","8","2","0","0","0","2010-2011","cornell"
